"","Coord: 1","Coord: 2","Coord: 3","Coord: 4","Coord: 5","Ctr: 1","Ctr: 2","Ctr: 3","Ctr: 4","Ctr: 5","Cor: 1","Cor: 2","Cor: 3","Cor: 4","Cor: 5"
"91",-0.39,-0.06,-0.22,-0.25,-0.19,0,0,0,0,0,NA,NA,NA,NA,NA
"92",0.03,-0.39,0.18,0.33,0.06,0,1,0,1,0,NA,NA,NA,NA,NA
"93",-0.03,0.14,0.27,0.12,0.09,0,0,0,0,0,NA,NA,NA,NA,NA
"94",0.08,-0.28,0.06,-0.04,-0.08,0,0,0,0,0,NA,NA,NA,NA,NA
"95",-0.27,0.35,-0.28,-0.06,-0.03,0,1,0,0,0,NA,NA,NA,NA,NA
"96",-0.36,-0.07,-0.11,-0.01,0.12,0,0,0,0,0,NA,NA,NA,NA,NA
"97",-0.01,-0.21,-0.08,0.01,0.02,0,0,0,0,0,NA,NA,NA,NA,NA
"98",-0.21,-0.16,-0.13,0,0.03,0,0,0,0,0,NA,NA,NA,NA,NA
"99",-0.26,-0.3,0.06,-0.01,0.07,0,0,0,0,0,NA,NA,NA,NA,NA
"100",-0.28,-0.24,-0.15,-0.1,-0.08,0,0,0,0,0,NA,NA,NA,NA,NA
"101",0.16,0.55,-0.1,0.16,0.02,0,1,0,0,0,NA,NA,NA,NA,NA
"102",-0.47,-0.31,-0.08,-0.18,0.06,1,0,0,0,0,NA,NA,NA,NA,NA
"103",-0.31,-0.43,-0.12,-0.18,-0.02,0,1,0,0,0,NA,NA,NA,NA,NA
"104",-0.23,-0.41,0.12,-0.09,0.01,0,1,0,0,0,NA,NA,NA,NA,NA
"105",0.24,0.25,-0.28,-0.16,-0.23,0,0,0,0,0,NA,NA,NA,NA,NA
"106",-0.19,-0.3,0.08,-0.02,0.08,0,0,0,0,0,NA,NA,NA,NA,NA
"107",-0.18,-0.42,0.01,-0.17,-0.02,0,1,0,0,0,NA,NA,NA,NA,NA
"108",-0.5,-0.11,0.09,-0.07,0.14,1,0,0,0,0,NA,NA,NA,NA,NA
"109",1.16,0.77,0.41,0.21,0.56,4,2,1,0,2,NA,NA,NA,NA,NA
"110",-0.6,0.09,0.09,0.24,0.23,1,0,0,0,0,NA,NA,NA,NA,NA
"111",-0.34,0.03,-0.07,0.11,0.1,0,0,0,0,0,NA,NA,NA,NA,NA
"112",0.38,-0.26,-0.15,0,-0.33,0,0,0,0,1,NA,NA,NA,NA,NA
"113",0.33,-0.1,-0.04,0.02,-0.21,0,0,0,0,0,NA,NA,NA,NA,NA
"114",-0.3,-0.38,0.17,0.14,0.23,0,1,0,0,0,NA,NA,NA,NA,NA
"115",-0.38,-0.11,-0.15,-0.11,0.02,0,0,0,0,0,NA,NA,NA,NA,NA
"116",0.08,0.75,0.14,0.14,0.22,0,2,0,0,0,NA,NA,NA,NA,NA
"117",-0.15,-0.34,0.21,0.1,0.09,0,0,0,0,0,NA,NA,NA,NA,NA
"118",-0.49,0.63,0.13,0.16,0.3,1,2,0,0,1,NA,NA,NA,NA,NA
"119",-0.82,0.02,0.01,0.13,0.29,2,0,0,0,0,NA,NA,NA,NA,NA
"120",-0.39,-0.18,0.24,0.26,0.32,0,0,0,0,1,NA,NA,NA,NA,NA
"121",0.32,0.36,-0.12,-0.05,-0.06,0,1,0,0,0,NA,NA,NA,NA,NA
"122",0.24,-0.08,-0.12,-0.07,-0.13,0,0,0,0,0,NA,NA,NA,NA,NA
"123",0.89,0.51,-0.04,-0.01,-0.06,2,1,0,0,0,NA,NA,NA,NA,NA
"124",-0.37,0.43,-0.15,-0.12,0.1,0,1,0,0,0,NA,NA,NA,NA,NA
"125",0.05,-0.38,0.03,0.06,-0.05,0,1,0,0,0,NA,NA,NA,NA,NA
"126",0.5,-0.01,0.09,0.11,-0.01,1,0,0,0,0,NA,NA,NA,NA,NA
